species,sector,banda,total,trans_official_name,file,data,transecte,horari_inici,horari_final,ornitoleg,month,calendar_date
Streptopelia decaocto,s1,>100 m,4,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s2,>100 m,3,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s3,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s4,>100 m,2,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s5,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s6,>100 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s1,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s2,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s3,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s4,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s5,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s6,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s1,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s2,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s3,25-100 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s4,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s5,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s6,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s1,>100 m,3,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s2,>100 m,4,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s3,>100 m,6,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s4,>100 m,4,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s5,>100 m,4,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Luscinia megarynchos,s6,>100 m,3,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s1,0-25 m,4,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s2,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s3,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s4,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s5,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s6,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s1,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s2,25-100 m,2,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s3,25-100 m,20,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s4,25-100 m,20,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s5,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s6,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s1,>100 m,15,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s2,>100 m,15,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s3,>100 m,70,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s4,>100 m,20,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s5,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Passer sp.,s6,>100 m,30,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s1,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s2,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s3,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s4,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s5,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s6,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s1,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s2,25-100 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s3,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s4,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s5,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s6,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s1,>100 m,3,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s2,>100 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s3,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s4,>100 m,2,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s5,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Apus sp.,s6,>100 m,10,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Chlydonias hybrida,s1,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Chlydonias hybrida,s2,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Chlydonias hybrida,s3,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
